,Participants,Masks,Rotate Direction,Rotate Direction_,Correlation
0,01,premotor,153,153,-0.9154209576633072
1,01,premotor,153,207,0.28868414565936995
2,01,premotor,153,45,0.33669239847311755
3,01,premotor,153,99,0.30136174381500347
4,01,premotor,207,153,0.29525046231222385
5,01,premotor,207,207,-0.9255198875563745
6,01,premotor,207,45,0.26034880285903217
7,01,premotor,207,99,0.30489548289959856
8,01,premotor,45,153,0.33381914511856814
9,01,premotor,45,207,0.2863155182155712
10,01,premotor,45,45,-0.9183801004924261
11,01,premotor,45,99,0.2856538129797944
12,01,premotor,99,153,0.3008068936356292
13,01,premotor,99,207,0.3056814212536689
14,01,premotor,99,45,0.30722530198304143
15,01,premotor,99,99,-0.9163218831257247
16,01,motor,153,153,-0.910528203512033
17,01,motor,153,207,0.2797686405657146
18,01,motor,153,45,0.3567567614597108
19,01,motor,153,99,0.28439349948179604
20,01,motor,207,153,0.270343023996286
21,01,motor,207,207,-0.9012767013840958
22,01,motor,207,45,0.24552160020527775
23,01,motor,207,99,0.304930059010513
24,01,motor,45,153,0.32047646088557946
25,01,motor,45,207,0.28366394412240226
26,01,motor,45,45,-0.898972936991983
27,01,motor,45,99,0.2950605444648315
28,01,motor,99,153,0.3043742784781333
29,01,motor,99,207,0.33184239719031394
30,01,motor,99,45,0.28092142731815845
31,01,motor,99,99,-0.912533687482932
32,01,v1,153,153,-0.912912929691081
33,01,v1,153,207,0.27086832585521015
34,01,v1,153,45,0.3643246831811776
35,01,v1,153,99,0.2790105463292139
36,01,v1,207,153,0.27101426815296986
37,01,v1,207,207,-0.912488351376797
38,01,v1,207,45,0.256844468301186
39,01,v1,207,99,0.30871561375266876
40,01,v1,45,153,0.3439148193597241
41,01,v1,45,207,0.2655327566875606
42,01,v1,45,45,-0.9091916243974987
43,01,v1,45,99,0.2870510816024363
44,01,v1,99,153,0.2771377303613127
45,01,v1,99,207,0.32428174112145247
46,01,v1,99,45,0.28870455548744683
47,01,v1,99,99,-0.9186917532802452
48,01,sup_parietal,153,153,-0.9142288817044817
49,01,sup_parietal,153,207,0.26295431264086183
50,01,sup_parietal,153,45,0.32975884532396327
51,01,sup_parietal,153,99,0.2892979806779775
52,01,sup_parietal,207,153,0.27085207016579915
53,01,sup_parietal,207,207,-0.9063225765506678
54,01,sup_parietal,207,45,0.204565906237764
55,01,sup_parietal,207,99,0.37535351416646423
56,01,sup_parietal,45,153,0.3243920941997029
57,01,sup_parietal,45,207,0.20658698071970882
58,01,sup_parietal,45,45,-0.8747597911043761
59,01,sup_parietal,45,99,0.2780956800503852
60,01,sup_parietal,99,153,0.2817061166500189
61,01,sup_parietal,99,207,0.37374809219354915
62,01,sup_parietal,99,45,0.2716980485332736
63,01,sup_parietal,99,99,-0.9177390610450589
64,01,inf_parietal,153,153,-0.8971053817530441
65,01,inf_parietal,153,207,0.27092982600245136
66,01,inf_parietal,153,45,0.37088551271787085
67,01,inf_parietal,153,99,0.2652899734191919
68,01,inf_parietal,207,153,0.2964453861326692
69,01,inf_parietal,207,207,-0.9272387616570641
70,01,inf_parietal,207,45,0.2514023319672527
71,01,inf_parietal,207,99,0.32941953455283657
72,01,inf_parietal,45,153,0.38097861764613095
73,01,inf_parietal,45,207,0.252288951024539
74,01,inf_parietal,45,45,-0.9027184733335015
75,01,inf_parietal,45,99,0.26155041795501327
76,01,inf_parietal,99,153,0.23068447360065472
77,01,inf_parietal,99,207,0.3377854464892499
78,01,inf_parietal,99,45,0.28776394004615297
79,01,inf_parietal,99,99,-0.9007042238121552
80,01,v5,153,153,-0.885743221474861
81,01,v5,153,207,0.2252590951539271
82,01,v5,153,45,0.3217993115915566
83,01,v5,153,99,0.27515047274645826
84,01,v5,207,153,0.18668411527223389
85,01,v5,207,207,-0.8453008011762377
86,01,v5,207,45,0.35685408294481613
87,01,v5,207,99,0.2623456854366618
88,01,v5,45,153,0.3595699608091136
89,01,v5,45,207,0.2753538903163014
90,01,v5,45,45,-0.8831436689759977
91,01,v5,45,99,0.26520939250798126
92,01,v5,99,153,0.2615288731181362
93,01,v5,99,207,0.24758160725062767
94,01,v5,99,45,0.21180389395115196
95,01,v5,99,99,-0.8702927351671881
96,02,premotor,153,153,-0.9158190004767737
97,02,premotor,153,207,0.3542270290458226
98,02,premotor,153,45,0.26188647597734815
99,02,premotor,153,99,0.29576497950958125
100,02,premotor,207,153,0.33744236842298403
101,02,premotor,207,207,-0.9260252310286701
102,02,premotor,207,45,0.2974485530857358
103,02,premotor,207,99,0.2625379664342617
104,02,premotor,45,153,0.2637860024280989
105,02,premotor,45,207,0.27540772333526825
106,02,premotor,45,45,-0.9096377253938421
107,02,premotor,45,99,0.33838751936183714
108,02,premotor,99,153,0.28920441967621974
109,02,premotor,99,207,0.27242008959605574
110,02,premotor,99,45,0.3540046109905629
111,02,premotor,99,99,-0.9176450234073301
112,02,motor,153,153,-0.9187875345156512
113,02,motor,153,207,0.36547004665891286
114,02,motor,153,45,0.2823553091860359
115,02,motor,153,99,0.24738987146882663
116,02,motor,207,153,0.3246314476549883
117,02,motor,207,207,-0.9116458271791059
118,02,motor,207,45,0.24584191945078454
119,02,motor,207,99,0.2975649313368544
120,02,motor,45,153,0.2700255605273649
121,02,motor,45,207,0.24889174503543415
122,02,motor,45,45,-0.9006279199971595
123,02,motor,45,99,0.3480993440285725
124,02,motor,99,153,0.28180479896004434
125,02,motor,99,207,0.28081797334716607
126,02,motor,99,45,0.36350591588050507
127,02,motor,99,99,-0.9201722582858914
128,02,v1,153,153,-0.8885700930780099
129,02,v1,153,207,0.3662456166728565
130,02,v1,153,45,0.22490696958381137
131,02,v1,153,99,0.22570590837585452
132,02,v1,207,153,0.34253011164963737
133,02,v1,207,207,-0.9035466187757011
134,02,v1,207,45,0.23153718938221052
135,02,v1,207,99,0.28887126928771434
136,02,v1,45,153,0.24323112278110273
137,02,v1,45,207,0.232075208631491
138,02,v1,45,45,-0.8921811850399249
139,02,v1,45,99,0.3891016939592062
140,02,v1,99,153,0.2412343226404868
141,02,v1,99,207,0.26897179427730933
142,02,v1,99,45,0.419087354108756
143,02,v1,99,99,-0.8926073136592938
144,02,sup_parietal,153,153,-0.8741408058957598
145,02,sup_parietal,153,207,0.3191740447971013
146,02,sup_parietal,153,45,0.2979911272013913
147,02,sup_parietal,153,99,0.2556297480167429
148,02,sup_parietal,207,153,0.3388122812955743
149,02,sup_parietal,207,207,-0.8953596180071404
150,02,sup_parietal,207,45,0.20205717019068237
151,02,sup_parietal,207,99,0.2847234530571108
152,02,sup_parietal,45,153,0.26147879582393374
153,02,sup_parietal,45,207,0.25466455928333076
154,02,sup_parietal,45,45,-0.8780762617309756
155,02,sup_parietal,45,99,0.30266775814961194
156,02,sup_parietal,99,153,0.2534548105063447
157,02,sup_parietal,99,207,0.3201218623334773
158,02,sup_parietal,99,45,0.32841166631231705
159,02,sup_parietal,99,99,-0.9047274326484642
160,02,inf_parietal,153,153,-0.898434139729023
161,02,inf_parietal,153,207,0.31761324454514717
162,02,inf_parietal,153,45,0.2923728482828952
163,02,inf_parietal,153,99,0.27843397384027235
164,02,inf_parietal,207,153,0.30425143461722376
165,02,inf_parietal,207,207,-0.9046331029090069
166,02,inf_parietal,207,45,0.2581303464880238
167,02,inf_parietal,207,99,0.2606161083750256
168,02,inf_parietal,45,153,0.2790102046911441
169,02,inf_parietal,45,207,0.2619486433047248
170,02,inf_parietal,45,45,-0.9088763549475729
171,02,inf_parietal,45,99,0.34037349716609955
172,02,inf_parietal,99,153,0.29695187064982337
173,02,inf_parietal,99,207,0.2607639720686117
174,02,inf_parietal,99,45,0.32912387307904967
175,02,inf_parietal,99,99,-0.9022186989483714
176,02,v5,153,153,-0.9084941163236295
177,02,v5,153,207,0.3451879957007796
178,02,v5,153,45,0.2881552655158539
179,02,v5,153,99,0.22078110652406285
180,02,v5,207,153,0.34912386117397487
181,02,v5,207,207,-0.8849009796996243
182,02,v5,207,45,0.1240377338646241
183,02,v5,207,99,0.3320045412136414
184,02,v5,45,153,0.33529640138301975
185,02,v5,45,207,0.2198502412455402
186,02,v5,45,45,-0.8727123200929006
187,02,v5,45,99,0.3143593943227381
188,02,v5,99,153,0.20499620362305315
189,02,v5,99,207,0.25043742820247966
190,02,v5,99,45,0.413253029701389
191,02,v5,99,99,-0.869914636146642
192,03,premotor,153,153,-0.9107120607299407
193,03,premotor,153,207,0.37209482909651104
194,03,premotor,153,45,0.2836200310078608
195,03,premotor,153,99,0.2641759181148413
196,03,premotor,207,153,0.38784266063902595
197,03,premotor,207,207,-0.9183246487806859
198,03,premotor,207,45,0.2439890261325759
199,03,premotor,207,99,0.24637769539792947
200,03,premotor,45,153,0.2856762756731887
201,03,premotor,45,207,0.2601103186022764
202,03,premotor,45,45,-0.90918902028022
203,03,premotor,45,99,0.36619404753241697
204,03,premotor,99,153,0.23878322501736282
205,03,premotor,99,207,0.27443266845818715
206,03,premotor,99,45,0.3636259533378154
207,03,premotor,99,99,-0.9034584953837363
208,03,motor,153,153,-0.8992382196129376
209,03,motor,153,207,0.3741214164428948
210,03,motor,153,45,0.23867153996722051
211,03,motor,153,99,0.2513621254432352
212,03,motor,207,153,0.3959630901677558
213,03,motor,207,207,-0.8897330667321879
214,03,motor,207,45,0.22752102196801294
215,03,motor,207,99,0.23377536282581388
216,03,motor,45,153,0.23855240251554166
217,03,motor,45,207,0.22847189678680568
218,03,motor,45,45,-0.9038124307823828
219,03,motor,45,99,0.4012693518697351
220,03,motor,99,153,0.2568403736528504
221,03,motor,99,207,0.27104009405730745
222,03,motor,99,45,0.3826830175895205
223,03,motor,99,99,-0.9036317289245246
224,03,v1,153,153,-0.8855127500292477
225,03,v1,153,207,0.45722041644316136
226,03,v1,153,45,0.20609510364459405
227,03,v1,153,99,0.2686591106930632
228,03,v1,207,153,0.36602685535018226
229,03,v1,207,207,-0.8573223747733127
230,03,v1,207,45,0.2044220756355283
231,03,v1,207,99,0.22826794357547409
232,03,v1,45,153,0.240424717121128
233,03,v1,45,207,0.15534501307452964
234,03,v1,45,45,-0.8327997129433465
235,03,v1,45,99,0.3706351211217117
236,03,v1,99,153,0.27914489137760556
237,03,v1,99,207,0.20204981753840046
238,03,v1,99,45,0.3826460481587073
239,03,v1,99,99,-0.8644182796533864
240,03,sup_parietal,153,153,-0.8666891663519908
241,03,sup_parietal,153,207,0.4250846320291476
242,03,sup_parietal,153,45,0.22400476678048023
243,03,sup_parietal,153,99,0.1676525468895656
244,03,sup_parietal,207,153,0.4321833813003071
245,03,sup_parietal,207,207,-0.8949393427123118
246,03,sup_parietal,207,45,0.22363827611783935
247,03,sup_parietal,207,99,0.22314234920701828
248,03,sup_parietal,45,153,0.21438538196650375
249,03,sup_parietal,45,207,0.19713396819702944
250,03,sup_parietal,45,45,-0.886205169780345
251,03,sup_parietal,45,99,0.4364739391993432
252,03,sup_parietal,99,153,0.17938168897904144
253,03,sup_parietal,99,207,0.2055351023881266
254,03,sup_parietal,99,45,0.45573646670400575
255,03,sup_parietal,99,99,-0.8646470358165026
256,03,inf_parietal,153,153,-0.9041347326393545
257,03,inf_parietal,153,207,0.39077474054625383
258,03,inf_parietal,153,45,0.2547372142340062
259,03,inf_parietal,153,99,0.23140656131673965
260,03,inf_parietal,207,153,0.4011207014109821
261,03,inf_parietal,207,207,-0.9188202287285292
262,03,inf_parietal,207,45,0.2470491575931687
263,03,inf_parietal,207,99,0.23190606421784377
264,03,inf_parietal,45,153,0.21832013201093897
265,03,inf_parietal,45,207,0.23392445320180816
266,03,inf_parietal,45,45,-0.8980791484256114
267,03,inf_parietal,45,99,0.4203001981041054
268,03,inf_parietal,99,153,0.24277465029614137
269,03,inf_parietal,99,207,0.2405398943285177
270,03,inf_parietal,99,45,0.40259394631887796
271,03,inf_parietal,99,99,-0.9033529723485689
272,03,v5,153,153,-0.8355863078419057
273,03,v5,153,207,0.4300747027930028
274,03,v5,153,45,0.12199838009198438
275,03,v5,153,99,0.27605622315688666
276,03,v5,207,153,0.4015817594226595
277,03,v5,207,207,-0.8643693428087659
278,03,v5,207,45,0.2117883758077976
279,03,v5,207,99,0.1711135894471585
280,03,v5,45,153,0.22497885771726364
281,03,v5,45,207,0.14019931886199163
282,03,v5,45,45,-0.7896270568959032
283,03,v5,45,99,0.39005698828509605
284,03,v5,99,153,0.2807651621316267
285,03,v5,99,207,0.1895611246859104
286,03,v5,99,45,0.4191484638650286
287,03,v5,99,99,-0.8881649990597098
288,04,premotor,153,153,-0.911896798748058
289,04,premotor,153,207,0.3062538990925685
290,04,premotor,153,45,0.3310226308804655
291,04,premotor,153,99,0.2853778920821718
292,04,premotor,207,153,0.29147707627667374
293,04,premotor,207,207,-0.8950147149731316
294,04,premotor,207,45,0.2777749222880995
295,04,premotor,207,99,0.261543971565548
296,04,premotor,45,153,0.32803679881987813
297,04,premotor,45,207,0.282570280704695
298,04,premotor,45,45,-0.917271979065979
299,04,premotor,45,99,0.32465133017985076
300,04,premotor,99,153,0.284549511315052
301,04,premotor,99,207,0.2658301435068699
302,04,premotor,99,45,0.33640688955719283
303,04,premotor,99,99,-0.9075454528879258
304,04,motor,153,153,-0.8794946920958758
305,04,motor,153,207,0.2604596387590437
306,04,motor,153,45,0.28319201950185124
307,04,motor,153,99,0.3271818475471997
308,04,motor,207,153,0.24536807131754573
309,04,motor,207,207,-0.862572840826957
310,04,motor,207,45,0.3172883266243133
311,04,motor,207,99,0.236708711167507
312,04,motor,45,153,0.2902843468389229
313,04,motor,45,207,0.3022322320503474
314,04,motor,45,45,-0.9016779070153444
315,04,motor,45,99,0.32157603461205164
316,04,motor,99,153,0.3443371610144121
317,04,motor,99,207,0.23948564515890808
318,04,motor,99,45,0.29475967839520045
319,04,motor,99,99,-0.8964328435397906
320,04,v1,153,153,-0.8764084936665254
321,04,v1,153,207,0.29924947395267476
322,04,v1,153,45,0.26121270699177207
323,04,v1,153,99,0.31074800576269235
324,04,v1,207,153,0.3406186393204039
325,04,v1,207,207,-0.8655117024392758
326,04,v1,207,45,0.2758921003048424
327,04,v1,207,99,0.20670534066383556
328,04,v1,45,153,0.24273441662854608
329,04,v1,45,207,0.29765964288932356
330,04,v1,45,45,-0.8726811963061197
331,04,v1,45,99,0.3433256880371983
332,04,v1,99,153,0.3031519680372958
333,04,v1,99,207,0.22878845383744656
334,04,v1,99,45,0.3167834451960351
335,04,v1,99,99,-0.8736538048545687
336,04,sup_parietal,153,153,-0.8484956950929897
337,04,sup_parietal,153,207,0.28003032755838175
338,04,sup_parietal,153,45,0.243835940612561
339,04,sup_parietal,153,99,0.30158908834708
340,04,sup_parietal,207,153,0.285212921678194
341,04,sup_parietal,207,207,-0.8623423661564016
342,04,sup_parietal,207,45,0.2861498071067647
343,04,sup_parietal,207,99,0.16079166251414345
344,04,sup_parietal,45,153,0.2784033528759036
345,04,sup_parietal,45,207,0.24415004925876238
346,04,sup_parietal,45,45,-0.8772299173981941
347,04,sup_parietal,45,99,0.3767057591819551
348,04,sup_parietal,99,153,0.29855771376436113
349,04,sup_parietal,99,207,0.18812831895545087
350,04,sup_parietal,99,45,0.35343424191176875
351,04,sup_parietal,99,99,-0.8630095768487434
352,04,inf_parietal,153,153,-0.9006819651438509
353,04,inf_parietal,153,207,0.30421352478071484
354,04,inf_parietal,153,45,0.28881266877414363
355,04,inf_parietal,153,99,0.31334096601191924
356,04,inf_parietal,207,153,0.24470623950375409
357,04,inf_parietal,207,207,-0.8961221212893146
358,04,inf_parietal,207,45,0.3318526387915413
359,04,inf_parietal,207,99,0.208649889779705
360,04,inf_parietal,45,153,0.3385921463004528
361,04,inf_parietal,45,207,0.28856350591336366
362,04,inf_parietal,45,45,-0.9166882144322382
363,04,inf_parietal,45,99,0.3338808640568233
364,04,inf_parietal,99,153,0.2769323404139816
365,04,inf_parietal,99,207,0.2346273554342457
366,04,inf_parietal,99,45,0.3391591613055249
367,04,inf_parietal,99,99,-0.8777070252843553
368,04,v5,153,153,-0.8442180789029073
369,04,v5,153,207,0.22614722552631983
370,04,v5,153,45,0.2367514636228283
371,04,v5,153,99,0.33127546579195366
372,04,v5,207,153,0.24736931448527186
373,04,v5,207,207,-0.7987640791032649
374,04,v5,207,45,0.21270211438612047
375,04,v5,207,99,0.22417799112491327
376,04,v5,45,153,0.2610433321445146
377,04,v5,45,207,0.32447931269904956
378,04,v5,45,45,-0.8203333322428743
379,04,v5,45,99,0.28723891810370333
380,04,v5,99,153,0.28427149493127934
381,04,v5,99,207,0.2130634587642924
382,04,v5,99,45,0.3818791019010773
383,04,v5,99,99,-0.8037558658542059
384,05,premotor,153,153,-0.8843427775571138
385,05,premotor,153,207,0.2847978346701825
386,05,premotor,153,45,0.31569388789355535
387,05,premotor,153,99,0.3385090627376235
388,05,premotor,207,153,0.3033154994184013
389,05,premotor,207,207,-0.8934263644160911
390,05,premotor,207,45,0.28424444145788774
391,05,premotor,207,99,0.274870445331467
392,05,premotor,45,153,0.2704976806992144
393,05,premotor,45,207,0.274347852458338
394,05,premotor,45,45,-0.902749947387605
395,05,premotor,45,99,0.3001854309123566
396,05,premotor,99,153,0.3293129996595326
397,05,premotor,99,207,0.2740505732065749
398,05,premotor,99,45,0.2946405317463289
399,05,premotor,99,99,-0.9129471621029298
400,05,motor,153,153,-0.8528179571700021
401,05,motor,153,207,0.23927582585305363
402,05,motor,153,45,0.3097603397617611
403,05,motor,153,99,0.2905920861384137
404,05,motor,207,153,0.26045307401580076
405,05,motor,207,207,-0.8679143885281229
406,05,motor,207,45,0.242816044858524
407,05,motor,207,99,0.28411958590518704
408,05,motor,45,153,0.2722438837593352
409,05,motor,45,207,0.2300065641615217
410,05,motor,45,45,-0.8973598632392721
411,05,motor,45,99,0.33939752281421376
412,05,motor,99,153,0.31452476904667526
413,05,motor,99,207,0.3184911575658758
414,05,motor,99,45,0.30682761730809543
415,05,motor,99,99,-0.8768704473132716
416,05,v1,153,153,-0.9012616302665035
417,05,v1,153,207,0.353343872783224
418,05,v1,153,45,0.13929857646669783
419,05,v1,153,99,0.34038250248741225
420,05,v1,207,153,0.41978432187268344
421,05,v1,207,207,-0.8960666724117382
422,05,v1,207,45,0.15797220285070146
423,05,v1,207,99,0.2544918659513865
424,05,v1,45,153,0.18454775340433688
425,05,v1,45,207,0.18648594510651859
426,05,v1,45,45,-0.892177533356965
427,05,v1,45,99,0.4138394783862546
428,05,v1,99,153,0.28554434423305664
429,05,v1,99,207,0.18780813626407575
430,05,v1,99,45,0.47404293771054296
431,05,v1,99,99,-0.889971945637509
432,05,sup_parietal,153,153,-0.8411664071175707
433,05,sup_parietal,153,207,0.25835132428900903
434,05,sup_parietal,153,45,0.2535897335396691
435,05,sup_parietal,153,99,0.29806463727269417
436,05,sup_parietal,207,153,0.31348873928831517
437,05,sup_parietal,207,207,-0.8524373485775897
438,05,sup_parietal,207,45,0.15341454484472694
439,05,sup_parietal,207,99,0.24399327437010693
440,05,sup_parietal,45,153,0.26100750785190974
441,05,sup_parietal,45,207,0.1887160091539358
442,05,sup_parietal,45,45,-0.8395973232090912
443,05,sup_parietal,45,99,0.3437202905264398
444,05,sup_parietal,99,153,0.33137211409599276
445,05,sup_parietal,99,207,0.2667879224601257
446,05,sup_parietal,99,45,0.3272844815065706
447,05,sup_parietal,99,99,-0.8704224606707379
448,05,inf_parietal,153,153,-0.8690280924149756
449,05,inf_parietal,153,207,0.2565946297689867
450,05,inf_parietal,153,45,0.32206072026374993
451,05,inf_parietal,153,99,0.3121456918432619
452,05,inf_parietal,207,153,0.2481325575789191
453,05,inf_parietal,207,207,-0.8802749165388604
454,05,inf_parietal,207,45,0.32222207489632315
455,05,inf_parietal,207,99,0.24496594839271763
456,05,inf_parietal,45,153,0.28185433420016537
457,05,inf_parietal,45,207,0.26010106451530685
458,05,inf_parietal,45,45,-0.874475514269318
459,05,inf_parietal,45,99,0.319966172290593
460,05,inf_parietal,99,153,0.33865716159535153
461,05,inf_parietal,99,207,0.219062261232049
462,05,inf_parietal,99,45,0.3099995085920128
463,05,inf_parietal,99,99,-0.8864445642067309
464,05,v5,153,153,-0.8521199886354904
465,05,v5,153,207,0.2822862837940205
466,05,v5,153,45,0.2375721254245801
467,05,v5,153,99,0.2508426496851296
468,05,v5,207,153,0.23182113365356782
469,05,v5,207,207,-0.8752166424082733
470,05,v5,207,45,0.3211788396602289
471,05,v5,207,99,0.3030797458671365
472,05,v5,45,153,0.2783028309467097
473,05,v5,45,207,0.23242242192753737
474,05,v5,45,45,-0.8719007356068859
475,05,v5,45,99,0.3472172617667708
476,05,v5,99,153,0.30674017798238623
477,05,v5,99,207,0.2817919603499012
478,05,v5,99,45,0.26148101504026433
479,05,v5,99,99,-0.8578772908233057
480,06,premotor,153,153,-0.9008494246883556
481,06,premotor,153,207,0.29034550866643793
482,06,premotor,153,45,0.3083148994813024
483,06,premotor,153,99,0.2664099419273927
484,06,premotor,207,153,0.3390922096156801
485,06,premotor,207,207,-0.9119110928591305
486,06,premotor,207,45,0.23644574716533812
487,06,premotor,207,99,0.27590363401044715
488,06,premotor,45,153,0.29383477830837623
489,06,premotor,45,207,0.26674941297508475
490,06,premotor,45,45,-0.848341823511142
491,06,premotor,45,99,0.34948100262645054
492,06,premotor,99,153,0.2714222898458164
493,06,premotor,99,207,0.30101359870961697
494,06,premotor,99,45,0.2975746731091049
495,06,premotor,99,99,-0.8975884175134549
496,06,motor,153,153,-0.8900507001044683
497,06,motor,153,207,0.285151861307192
498,06,motor,153,45,0.24116152341290625
499,06,motor,153,99,0.28654583979917214
500,06,motor,207,153,0.3169821545152784
501,06,motor,207,207,-0.8911811372668338
502,06,motor,207,45,0.25515236335921054
503,06,motor,207,99,0.2232804070264156
504,06,motor,45,153,0.2764367111284754
505,06,motor,45,207,0.266939273216913
506,06,motor,45,45,-0.7520422360046292
507,06,motor,45,99,0.3314837448641672
508,06,motor,99,153,0.2980623822042273
509,06,motor,99,207,0.24788682238413418
510,06,motor,99,45,0.2687338018977194
511,06,motor,99,99,-0.8911728492481539
512,06,v1,153,153,-0.8674323992225024
513,06,v1,153,207,0.307778980888224
514,06,v1,153,45,0.28945342760847725
515,06,v1,153,99,0.19162728797961953
516,06,v1,207,153,0.33723601438845824
517,06,v1,207,207,-0.8654134211373363
518,06,v1,207,45,0.20667140208911275
519,06,v1,207,99,0.23701831451675498
520,06,v1,45,153,0.2832883138455845
521,06,v1,45,207,0.26103870830568504
522,06,v1,45,45,-0.8048797439003684
523,06,v1,45,99,0.3987797880598881
524,06,v1,99,153,0.24386714148611302
525,06,v1,99,207,0.22285326544152706
526,06,v1,99,45,0.32131255438093786
527,06,v1,99,99,-0.8606932394724689
528,06,sup_parietal,153,153,-0.8715993385836394
529,06,sup_parietal,153,207,0.27871926608564934
530,06,sup_parietal,153,45,0.24501976784131818
531,06,sup_parietal,153,99,0.262752211100195
532,06,sup_parietal,207,153,0.30627710625712934
533,06,sup_parietal,207,207,-0.8850903310804582
534,06,sup_parietal,207,45,0.24757501593755826
535,06,sup_parietal,207,99,0.2788156675776746
536,06,sup_parietal,45,153,0.23362767317803396
537,06,sup_parietal,45,207,0.27960888095113107
538,06,sup_parietal,45,45,-0.8265188952059042
539,06,sup_parietal,45,99,0.35276870880112443
540,06,sup_parietal,99,153,0.3059134554046349
541,06,sup_parietal,99,207,0.21805973356502661
542,06,sup_parietal,99,45,0.27940426615959957
543,06,sup_parietal,99,99,-0.8654293788163084
544,06,inf_parietal,153,153,-0.8771284837528105
545,06,inf_parietal,153,207,0.2724590333990736
546,06,inf_parietal,153,45,0.24635149095651596
547,06,inf_parietal,153,99,0.2790545229738716
548,06,inf_parietal,207,153,0.2847969623628993
549,06,inf_parietal,207,207,-0.8936910207149891
550,06,inf_parietal,207,45,0.27691034598550346
551,06,inf_parietal,207,99,0.252764323534175
552,06,inf_parietal,45,153,0.26462477992634403
553,06,inf_parietal,45,207,0.2583839476669123
554,06,inf_parietal,45,45,-0.8146145306404386
555,06,inf_parietal,45,99,0.3679437445082786
556,06,inf_parietal,99,153,0.2936005331960596
557,06,inf_parietal,99,207,0.2848528081832618
558,06,inf_parietal,99,45,0.29739379144381284
559,06,inf_parietal,99,99,-0.8977792986761344
560,06,v5,153,153,-0.8567814759370007
561,06,v5,153,207,0.29045620301580494
562,06,v5,153,45,0.2509292855188835
563,06,v5,153,99,0.276172037861743
564,06,v5,207,153,0.350000632797821
565,06,v5,207,207,-0.875659585870623
566,06,v5,207,45,0.22080612258921617
567,06,v5,207,99,0.2004498695986552
568,06,v5,45,153,0.23033289983177505
569,06,v5,45,207,0.2570615498731078
570,06,v5,45,45,-0.8534967205136132
571,06,v5,45,99,0.4005735777653765
572,06,v5,99,153,0.2151440713652833
573,06,v5,99,207,0.25061949871744216
574,06,v5,99,45,0.3536213782535253
575,06,v5,99,99,-0.8611142102513751
576,07,premotor,153,153,-0.8726826939541783
577,07,premotor,153,207,0.32506268296685586
578,07,premotor,153,45,0.2517144712913431
579,07,premotor,153,99,0.2662739184614055
580,07,premotor,207,153,0.3254299392834653
581,07,premotor,207,207,-0.876457901777382
582,07,premotor,207,45,0.330739604227816
583,07,premotor,207,99,0.23519745841191383
